t,ch2_us,ch3_us,aux1,rpm_FR,rpm_FL,rpm_RR,rpm_RL,err_FR,err_FL,err_RR,err_RL,amp_FR,amp_FL,amp_RR,amp_RL,volt_FR,volt_FL,volt_RR,volt_RL,temp_FR,temp_FL,temp_RR,temp_RL,odom_x,odom_y,odom_vx,vlp_x,vlp_y,vlp_vx,vlp_vy,vlp_xy_valid,vlp_vxy_valid,imu_ax,imu_ay,imu_az
0.20,,,,,,,,,,,,,,,,,,,,,,,,180.0943,44.5747,0.0000,,,,,,,,,
0.40,,,,,,,,,,,,,,,,,,,,,,,,180.0943,44.5747,0.0000,,,,,,,,,
0.60,,,,,,,,,,,,,,,,,,,,,,,,180.0943,44.5747,0.0000,,,,,,,,,
0.80,1500,1001,,0,0,0,0,0,0,0,0,0.196,-0.553,0.052,0.131,24.797,24.688,24.625,24.734,43.850,42.350,45.850,44.850,180.0943,44.5747,0.0000,34875.9922,1384.9142,-0.7979,-0.1478,0,0,0.02533643,-0.7850134,-9.817082
1.00,1500,1001,-1.0000,0,0,0,0,0,0,0,0,-0.221,-0.388,-0.010,0.176,24.812,24.719,24.625,24.734,43.850,42.350,45.850,44.850,180.0943,44.5747,0.0000,34875.6055,1384.8749,-0.8333,-0.1480,0,0,0.030806853,-0.77411264,-9.77298
1.20,1500,1001,-1.0000,0,0,0,0,0,0,0,0,0.109,0.347,-0.057,0.070,24.812,24.688,24.625,24.734,43.850,42.350,45.850,44.850,180.0943,44.5747,0.0000,34875.2148,1384.8287,-0.8664,-0.1491,0,0,0.022117913,-0.79475147,-9.764347
1.40,1500,1001,-1.0000,0,0,0,0,0,0,0,0,0.031,0.144,0.044,-0.230,24.812,24.703,24.625,24.750,43.850,42.350,45.850,44.850,180.0943,44.5747,0.0000,34874.8164,1384.7850,-0.9012,-0.1495,0,0,0.027419219,-0.79436684,-9.813038
1.60,1500,1001,-1.0000,0,0,0,0,0,0,0,0,-0.090,0.131,-0.125,-0.252,24.812,24.766,24.625,24.750,43.850,42.350,45.850,44.850,180.0943,44.5747,0.0000,34874.3906,1384.7616,-0.9381,-0.1470,0,0,0.031019991,-0.8289415,-9.819406
1.80,1500,1001,-1.0000,0,0,0,0,0,0,0,0,0.107,-0.036,-0.031,-0.290,24.812,24.688,24.625,24.750,43.850,42.350,45.850,44.850,180.0943,44.5747,0.0000,34873.9727,1384.7543,-0.9724,-0.1423,0,0,0.044320393,-0.8092042,-9.831115
2.00,1500,1001,-1.0000,0,0,0,0,0,0,0,0,-0.258,-0.928,-0.017,0.010,24.812,24.734,24.625,24.750,43.850,42.350,45.850,44.850,180.0943,44.5747,0.0000,34873.5586,1384.7458,-1.0042,-0.1377,0,0,0.009687682,-0.8122928,-9.786359
2.20,1500,1001,-1.0000,0,0,0,0,0,0,0,0,0.134,0.824,-0.028,-0.319,24.812,24.734,24.625,24.750,43.850,42.350,45.850,44.850,180.0943,44.5747,0.0000,34873.1836,1384.7247,-1.0291,-0.1354,0,0,0.059303395,-0.77955157,-9.813249
2.40,1500,1001,-1.0000,0,0,0,0,0,0,0,0,-0.038,0.520,-0.022,0.241,24.812,24.672,24.625,24.750,43.850,42.350,45.850,44.850,180.0943,44.5747,0.0000,34872.8242,1384.7208,-1.0492,-0.1298,0,0,0.02104795,-0.8138634,-9.789209
2.60,1500,1001,-1.0000,0,0,0,0,0,0,0,0,-0.099,-0.579,-0.064,0.079,24.828,24.719,24.625,24.750,43.850,42.350,45.850,44.850,180.0943,44.5747,0.0000,34872.4453,1384.7211,-1.0728,-0.1241,0,0,0.05075998,-0.81188285,-9.820101
2.80,1547,1001,-1.0000,67,54,77,68,0,0,0,0,2.096,0.232,1.773,0.608,24.797,24.688,24.594,24.734,43.850,42.100,45.850,44.850,180.0959,44.5696,0.2593,34872.0820,1384.7111,-1.0894,-0.1189,0,0,-0.15773384,-1.055644,-8.966422
3.00,1673,1001,-1.0000,363,338,327,362,0,0,0,0,1.377,3.723,3.951,2.381,24.672,24.453,24.406,24.562,43.600,42.350,45.600,44.850,180.1414,44.4282,1.3552,34871.6875,1384.6737,-1.1310,-0.1153,0,0,0.7043861,-0.8603611,-10.008749
3.20,1834,1001,-1.0000,798,786,775,790,0,0,0,0,0.629,1.768,0.975,1.094,24.750,24.594,24.531,24.625,43.850,42.350,45.600,44.850,180.2814,43.9931,3.0703,34871.2383,1384.6234,-1.1392,-0.1141,0,0,1.1889083,-0.7751648,-10.431876
3.40,1967,1001,-1.0000,1046,1085,1064,1099,0,0,0,0,4.270,3.188,4.836,2.391,24.422,24.406,24.234,24.438,43.850,42.350,45.600,44.850,180.4990,43.3169,4.1867,34870.7031,1384.4902,-1.2021,-0.1257,0,0,0.90629494,-0.32442534,-9.259858
3.60,2000,1001,-1.0000,1234,1242,1242,1238,0,0,0,0,1.257,0.862,0.659,0.886,24.688,24.688,24.562,24.609,43.850,42.350,45.600,44.850,180.7847,42.4295,4.8321,34870.0586,1384.2842,-1.2567,-0.1402,0,0,0.6734901,-0.9972162,-9.281651
3.80,2000,1001,-1.0000,1244,1240,1245,1245,0,0,0,0,1.862,1.526,1.447,1.293,24.719,24.578,24.531,24.625,43.850,42.350,45.850,44.850,181.0790,41.5158,4.8497,34869.3711,1384.0160,-1.3186,-0.1735,0,0,-0.24312249,-0.7277696,-9.909982
4.00,2000,1001,-1.0000,1242,1244,1245,1246,0,0,0,0,1.159,1.285,1.471,1.097,24.703,24.594,24.500,24.641,43.850,42.100,45.600,44.850,181.3686,40.6165,4.8526,34868.6719,1383.7448,-1.3850,-0.2042,0,0,0.084077656,-0.57386065,-9.899445
4.20,2000,1001,-1.0000,1244,1241,1244,1245,0,0,0,0,1.781,1.254,1.369,1.501,24.688,24.625,24.500,24.641,43.600,42.350,45.850,44.850,181.6719,39.6748,4.8496,34867.9531,1383.4935,-1.4482,-0.2277,0,0,0.16357662,-0.7074589,-9.785009
4.40,2000,1001,-1.0000,1241,1249,1244,1248,0,0,0,0,2.021,0.892,1.104,1.357,24.719,24.625,24.531,24.641,43.850,42.350,45.850,44.850,181.9668,38.7595,4.8575,34867.2969,1383.2975,-1.5054,-0.2399,0,0,0.13557464,-0.7090025,-9.763165
4.60,1944,1001,-1.0000,1121,1104,1110,1120,0,0,0,0,1.026,1.623,1.502,0.476,24.766,24.609,24.531,24.734,43.600,42.350,45.600,44.850,182.2590,37.8529,4.3436,34866.5703,1383.0731,-1.5698,-0.2527,0,0,-0.35254902,-0.74828184,-9.55198
4.80,1920,1001,-1.0000,1067,1073,1068,1072,0,0,0,0,-0.413,-0.718,-0.217,-1.568,24.859,24.688,24.625,24.750,43.850,42.350,45.600,44.850,182.5127,37.0655,4.1730,34865.9453,1382.8960,-1.6082,-0.2669,0,0,-0.3659092,-1.0389869,-9.539435
5.00,1883,1001,-1.0000,978,985,973,981,0,0,0,0,1.145,1.159,0.488,0.934,24.719,24.703,24.531,24.672,43.850,42.350,45.850,44.850,182.7615,36.2933,3.8191,34865.2969,1382.7317,-1.6650,-0.2770,0,0,0.0018331262,-0.70659184,-10.141752
5.20,1769,1001,-1.0000,741,748,727,746,0,0,0,0,-0.675,0.622,-1.376,-0.801,24.828,24.672,24.656,24.750,43.850,42.350,45.850,44.850,182.9754,35.6300,2.8879,34864.6836,1382.5872,-1.7134,-0.2837,0,0,0.27480417,-0.7719884,-9.533138
5.40,1589,1001,-1.0000,286,289,205,291,0,0,0,0,-1.071,-0.493,0.776,-1.025,24.672,24.453,24.594,24.438,43.850,42.350,45.600,44.850,183.1000,35.2436,1.0442,34864.1758,1382.4910,-1.7376,-0.2804,0,0,0.4449097,-1.2566986,-10.809255
5.60,1500,1001,-1.0000,0,-1,1,9,0,0,0,0,0.161,0.525,-0.093,0.127,24.812,24.672,24.625,24.734,43.850,42.350,45.600,44.850,183.1221,35.1750,0.0088,34863.6719,1382.4288,-1.7581,-0.2743,0,0,-0.49157915,-0.6608421,-9.4766
5.80,1500,1001,-1.0000,0,0,0,0,0,0,0,0,0.095,0.139,-0.082,-0.111,24.812,24.750,24.625,24.734,43.850,42.350,45.850,44.850,183.1221,35.1749,0.0000,34863.0156,1382.2340,-1.7949,-0.2921,0,0,-0.06943005,-0.6499117,-9.866957
6.00,1500,1001,-1.0000,0,0,0,0,0,0,0,0,-0.150,0.397,0.047,-0.198,24.812,24.719,24.625,24.750,43.600,42.350,45.850,44.850,183.1221,35.1749,0.0000,34862.4062,1382.0288,-1.8362,-0.3154,0,0,0.054735772,-0.7236301,-9.789136
6.20,1045,1001,-1.0000,-311,-348,-330,-297,0,0,0,0,2.352,1.670,1.678,2.172,24.703,24.594,24.516,24.641,43.600,42.350,45.850,44.850,183.1014,35.2389,-1.2538,34861.7773,1381.8207,-1.8887,-0.3297,0,0,0.17369758,-0.639659,-10.113791
6.40,1001,1001,-1.0000,-893,-865,-842,-882,0,0,0,0,3.377,2.334,2.756,2.363,24.547,24.438,24.391,24.484,43.600,42.350,45.600,44.850,182.9578,35.6837,-3.3949,34861.1445,1381.6027,-1.9098,-0.3464,0,0,-0.014438664,-0.5731102,-9.855026
